,Bubble 10^1,Insertion 10^1,Quick 10^1,Bubble 10^2,Insertion 10^2,Quick 10^2,Bubble 10^3,Insertion 10^3,Quick 10^3,Bubble 10^4,Insertion 10^4,Quick 10^4,Bubble 10^5,Insertion 10^5,Quick 10^5
Random,0.5214341999999306,0.17446340000060445,1.4820302999996784,7.819999973435188e-05,2.3499999770137947e-05,0.0035225999999966007,0.004571600000417675,0.0008197999995900318,0.03594650000013644,0.5447438999999576,0.06727779999982886,0.3457493000005343,105.12553990000015,9.662198400000307,3.4757658999997147
Fully Sorted,2.5399999685760122e-05,1.2100000276404899e-05,0.0005045999996582395,1.340000017080456e-05,1.1499999345687684e-05,0.003567799999473209,2.080000012938399e-05,1.7600000319362152e-05,0.03457299999990937,0.00010180000026593916,7.360000017797574e-05,0.3457493000005343,0.0007207999997262959,9.662198400000307,3.512013399999887
Reverse Sorted,2.5299999833805487e-05,1.2199999218864832e-05,0.0005180000007385388,4.3900000491703395e-05,3.420000030018855e-05,0.00358689999939088,0.002555499999289168,0.001556400000481517,0.03438319999986561,0.25128419999964535,0.15030469999965135,0.3463975999993636,24.9559749,19.366418599999633,3.4848337000003085
Partially Sorted,2.500000027794158e-05,1.1699999959091656e-05,0.0005098000001453329,4.9000000217347406e-05,1.320000046689529e-05,0.003507500000523578,0.0030511999993905192,0.00013589999980467837,0.03690439999991213,0.2889517999992677,0.012496299999838811,0.34244809999927384,50.5306958000001,1.6810114999998405,3.4439133000005313
